rank,class_id,class_name,count,cum_pct
212,32,Audicom Pendax,19,79.7754077083686
213,259,ICA Kvantum,19,79.88262513402178
214,322,Lendo,19,79.98984255967497
215,124,Demo Group,19,80.09705998532814
216,208,Gjuteriteknik tekst,19,80.20427741098132
217,534,Stenfastigheter,19,80.3114948366345
218,585,Tranpenad,19,80.41871226228768
219,86,Brion,19,80.52592968794086
220,556,TB Printsolutions,19,80.63314711359403
221,105,Clinton,19,80.74036453924722
222,328,Lindab,19,80.8475819649004
223,270,InfraCom,19,80.95479939055357
224,376,Mocca Deli,18,81.05637379380396
225,111,Corpay,18,81.15794819705434
226,616,Victoria,18,81.25952260030472
227,205,Gevab Group,18,81.3610970035551
228,311,LF Invest AB,18,81.46267140680548
229,461,Rimeda,18,81.56424581005587
230,500,Sfär,18,81.66582021330625
231,453,Reformhus,18,81.76739461655663
232,140,ELAK,18,81.86896901980701
233,476,SKAB,18,81.97054342305739
234,571,TekoTryck,18,82.07211782630777
235,431,Platinumcars,17,82.16804920715535
236,386,NTEX,17,82.26398058800294
237,37,B el & tele,17,82.35991196885051
238,411,Oatly,17,82.4558433496981
239,302,Konst Smide,17,82.55177473054567
240,138,EL Man,17,82.64770611139326
241,654,exakta,17,82.74363749224085
242,387,Nearyou,17,82.83956887308842
243,446,RO-gruppen,17,82.93550025393601
244,264,ITS,17,83.03143163478359
245,9,AH Sport & Business,17,83.12736301563118
246,456,Renova,16,83.21765137407596
247,507,Skrotfrag,16,83.30793973252074
248,558,TF Bank,16,83.39822809096552
249,61,Billy & Dennis,16,83.4885164494103
250,644,advokatbyrån novum,16,83.5788048078551
251,95,CLN Athletics,16,83.66909316629987
252,102,Cernera,16,83.75938152474465
253,251,Hyrex,16,83.84966988318943
254,438,Prefabsystem,16,83.93995824163422
255,332,Logomattan,16,84.030246600079
256,189,Frank Bistro,16,84.12053495852379
257,567,"Team ""G"" EL & VVS AB",16,84.21082331696857
258,469,Ryds Bilglas,16,84.30111167541335
259,266,Ifmetall,15,84.38575701145534
260,335,Lundagrossisten,15,84.47040234749731
261,17,Advokatfirman Landerdahl,15,84.5550476835393
262,519,Spolpatrullen,15,84.63969301958129
263,568,Techno Skruv,15,84.72433835562327
264,277,J&S Markservice AB,15,84.80898369166526
265,101,Cequred Security,15,84.89362902770723
266,186,Forza football,15,84.97827436374922
267,143,Easy Coffee,15,85.06291969979121
268,365,Mella el,15,85.1475650358332
269,504,Sjömarkens Svets och Smide AB,15,85.23221037187518
270,429,Picadeli,15,85.31685570791716
271,165,Estrella,15,85.40150104395914
272,343,Lönneberga,15,85.48614638000113
273,324,Let´s Create,15,85.57079171604312
274,312,LGL Construction,15,85.65543705208509
275,290,K-vagnen,15,85.74008238812708
276,479,STARK,15,85.82472772416907
277,583,Toveksbil VW,15,85.90937306021105
278,524,Stadax,15,85.99401839625304
279,76,Borohus,15,86.07866373229501
280,97,CTC Värmepumpar,15,86.163309068337
281,199,GN Transport,14,86.24231138197618
282,252,Härryda Karlsson,14,86.32131369561537
283,169,FR Fastighetsservice,14,86.40031600925455
284,10,AHNVIKS,14,86.47931832289375
285,315,LKQ Atracco,14,86.55832063653293
286,258,ICA City,14,86.6373229501721
287,338,Lundebergs Fastigheter logo,14,86.7163252638113
288,98,CWS,14,86.79532757745048
289,491,Scandic,14,86.87432989108967
290,418,Ottosson Truck,14,86.95333220472885
291,465,Rollup-Kungen,14,87.03233451836803
292,80,Borås Truckservice,14,87.11133683200723
293,549,Sydsvenskan,14,87.1903391456464
294,489,Sankt Jorgen Park,14,87.2693414592856
295,539,Städ & Fönsterservice,14,87.34834377292478
296,284,Jump Yard,14,87.42734608656396
297,286,Järngrinden,14,87.50634840020315
298,675,Øresundsbron,13,87.57970769143954
299,253,Hållanders Sägverk AB,13,87.65306698267592
300,174,Fat21,13,87.72642627391231
301,427,Peas of Heaven,13,87.7997855651487
302,382,NLY Man,13,87.87314485638508
303,628,Västtak,13,87.94650414762147
304,75,Borgstena of Sweden,13,88.01986343885785
305,379,Musiklageret,13,88.09322273009424
306,187,Fotriktigt,13,88.16658202133063
307,244,Hugo,13,88.23994131256701
308,369,Mercedes,13,88.3133006038034
309,77,Borås MurningsArbeten,13,88.38665989503978
310,341,Lyckholms Elektriska,13,88.46001918627617
311,396,Nordquist & Järnvall,13,88.53337847751256
312,589,Troax,13,88.60673776874894
313,451,Ravema,12,88.67445403758254
314,393,Norden,12,88.74217030641611
315,354,Malaco,12,88.8098865752497
316,135,EB Road Cargo,12,88.87760284408328
317,540,Ståthøga Verkstad AB,12,88.94531911291688
318,434,Port Du Soleil,12,89.01303538175047
319,501,Silvent,12,89.08075165058405
320,225,Halmstad Kakelhus,12,89.14846791941764
321,454,Rejlers,12,89.21618418825123
322,630,WebROPol,12,89.28390045708481
323,183,Folie & Papper,12,89.3516167259184
324,473,SEFAB,12,89.41933299475198
325,1,3M Peltor,12,89.48704926358558
326,626,Västerås Takentreprenad AB,11,89.54912251001636
327,400,Norteam,11,89.61119575644716
328,255,Högbergs Buss AB,11,89.67326900287794
329,217,Göteborgs Metallpartier,11,89.73534224930873
330,265,Idealtryck,11,89.79741549573951
331,372,Mitsubishi,11,89.85948874217031
332,602,Uponor,11,89.9215619886011
333,176,Finlarm,11,89.98363523503188
334,392,Nordea,11,90.04570848146267
335,188,Four Office,11,90.10778172789345
336,598,UGSAB,11,90.16985497432425
337,428,Pepsi,11,90.23192822075504
338,445,QTF,11,90.29400146718582
339,608,VMAR,11,90.35607471361661
340,57,Betonghål,11,90.4181479600474
341,520,Sport Vision,11,90.48022120647819
342,226,Halmstad stenhus,11,90.54229445290898
343,339,Lundqvist EL,11,90.60436769933976
344,241,HomeMaid,11,90.66644094577056
345,136,EFAB,11,90.72851419220135
346,593,Turbo,11,90.79058743863213
347,219,HFAB,11,90.85266068506292
348,34,Autocirc,10,90.9090909090909
349,67,Bloms AB,10,90.9655211331189
350,333,Loows Måleri,10,91.02195135714689
351,294,Kalmar Kuvert,10,91.07838158117488
352,279,Jisotech,10,91.13481180520287
353,594,Tvättex,10,91.19124202923085
354,458,Retur Papper Centralen,10,91.24767225325884
355,130,Domtrappkällaren,10,91.30410247728683
356,301,Konradssons Kakel,10,91.36053270131482
357,403,Nybloms,10,91.41696292534282
358,63,Biotage,10,91.4733931493708
359,204,Getinge logo,10,91.5298233733988
360,351,MMG Marine AB,10,91.58625359742678
361,280,JoelJolina,10,91.64268382145477
362,483,SafeScaff,10,91.69911404548276
363,215,Gunnars Maskiner,10,91.75554426951075
364,391,NordVPN,10,91.81197449353874
365,421,PULS,10,91.86840471756673
366,399,Norrvidinge,10,91.92483494159472
367,542,Sundström Safety,10,91.9812651656227
368,363,McDonald's,10,92.0376953896507
369,562,TL Bygg,10,92.09412561367868
370,432,Plåtkompaniet,10,92.15055583770668
371,149,Electrolux,10,92.20698606173467
372,4,52bones,10,92.26341628576266
373,353,Maksimer,10,92.31984650979065
374,362,Maxxis Tyres,9,92.37063371141583
375,658,ginatricot,9,92.42142091304102
376,28,Aros Kapital,9,92.47220811466622
377,330,Little Italy Barbershop,9,92.5229953162914
378,537,Storkökside,9,92.5737825179166
379,384,NSFastigheter,9,92.62456971954178
380,313,LGP Byggservice AB,9,92.67535692116698
381,586,Transschakt,9,92.72614412279216
382,357,Markentreprenad,9,92.77693132441736
383,615,VicApta,9,92.82771852604255
384,156,Elite Grand Hotel,9,92.87850572766774
385,385,NSgastro,9,92.92929292929293
386,572,Tele2,9,92.98008013091813
387,327,Lillebil,9,93.03086733254331
388,605,Uppsala Handelsstål,9,93.0816545341685
389,73,Bogstedt Bil,9,93.13244173579369
390,170,FSAB,9,93.18322893741887
391,133,EA,9,93.23401613904407
