epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5781.59,0.54392,0.43925,1.35759,0.75558,0.7492,0.81826,0.70777,0.6948,0.85231,1.85132,0.000459816,0.000459816,0.000459816
91,5846,0.55497,0.45305,1.39196,0.70557,0.76304,0.82775,0.71259,0.69299,0.89641,1.79368,0.00045696,0.00045696,0.00045696
92,5908.27,0.54161,0.44145,1.35564,0.71901,0.76063,0.83438,0.71545,0.70564,0.86532,1.80139,0.000454104,0.000454104,0.000454104
93,5970.37,0.54975,0.4433,1.39325,0.7487,0.74691,0.84041,0.72479,0.69473,0.84558,1.77189,0.000451248,0.000451248,0.000451248
94,6033.58,0.54673,0.44872,1.38144,0.75504,0.75178,0.84188,0.72299,0.69974,0.86806,1.81687,0.000448392,0.000448392,0.000448392
95,6096.2,0.54958,0.44106,1.36586,0.73146,0.75256,0.82418,0.71478,0.69286,0.84375,1.85345,0.000445536,0.000445536,0.000445536
96,6158.74,0.53163,0.43296,1.3845,0.76736,0.73507,0.82587,0.7112,0.69448,0.87258,1.82403,0.00044268,0.00044268,0.00044268
97,6218.8,0.55617,0.44919,1.38341,0.71877,0.77691,0.82917,0.71643,0.69403,0.83845,1.75969,0.000439824,0.000439824,0.000439824
98,6279.52,0.53888,0.43643,1.37658,0.77691,0.7346,0.83219,0.71959,0.69222,0.88417,1.81611,0.000436968,0.000436968,0.000436968
99,6340.95,0.53205,0.43204,1.38505,0.73744,0.76546,0.83412,0.72267,0.69414,0.83659,1.80302,0.000434112,0.000434112,0.000434112
100,6401.44,0.52845,0.43493,1.37515,0.77909,0.72841,0.82945,0.71738,0.69312,0.84208,1.78543,0.000431256,0.000431256,0.000431256
101,6462.91,0.51824,0.42642,1.38867,0.75075,0.74309,0.81621,0.71162,0.69041,0.87103,1.80276,0.0004284,0.0004284,0.0004284
102,6523.46,0.53589,0.43842,1.41386,0.78208,0.73321,0.82947,0.7147,0.69941,0.85472,1.81728,0.000425544,0.000425544,0.000425544
103,6584.61,0.53024,0.4347,1.38354,0.75111,0.75547,0.83173,0.7188,0.69105,0.85635,1.86537,0.000422688,0.000422688,0.000422688
104,6644.86,0.52027,0.4189,1.36687,0.81383,0.69993,0.83524,0.71943,0.69162,0.83613,1.90884,0.000419832,0.000419832,0.000419832
105,6706.38,0.52374,0.42752,1.36494,0.74341,0.76659,0.83986,0.72259,0.68601,0.84508,1.85941,0.000416976,0.000416976,0.000416976
106,6766.74,0.52518,0.42314,1.3654,0.77439,0.73786,0.83394,0.71957,0.68752,0.82558,1.87136,0.00041412,0.00041412,0.00041412
107,6827.35,0.50486,0.40932,1.34543,0.7995,0.72002,0.83397,0.72196,0.69049,0.82906,1.86294,0.000411264,0.000411264,0.000411264
108,6887.29,0.51104,0.41494,1.35369,0.77073,0.73422,0.83141,0.71874,0.67909,0.84672,1.82812,0.000408408,0.000408408,0.000408408
109,6947.98,0.52199,0.42318,1.36263,0.76212,0.73753,0.83063,0.71443,0.68638,0.85114,1.8028,0.000405552,0.000405552,0.000405552
110,7008.22,0.51104,0.4117,1.35094,0.73886,0.76693,0.83565,0.72145,0.68458,0.83244,1.86633,0.000402696,0.000402696,0.000402696
111,7068.76,0.50941,0.40921,1.34903,0.79237,0.71878,0.82458,0.71428,0.6849,0.83903,1.86061,0.00039984,0.00039984,0.00039984
112,7129.23,0.51405,0.41292,1.35309,0.70019,0.77932,0.83354,0.72323,0.69453,0.81997,1.81681,0.000396984,0.000396984,0.000396984
113,7189.82,0.50744,0.40916,1.36886,0.76459,0.76244,0.83678,0.71902,0.68912,0.82234,1.90443,0.000394128,0.000394128,0.000394128
114,7249.93,0.51799,0.42485,1.33817,0.79011,0.7177,0.83094,0.7186,0.69056,0.82774,1.87461,0.000391272,0.000391272,0.000391272
115,7310.88,0.51117,0.41991,1.35389,0.77548,0.73614,0.83044,0.71561,0.68842,0.836,1.83224,0.000388416,0.000388416,0.000388416
116,7371.5,0.49879,0.40498,1.36156,0.80099,0.70964,0.83392,0.7232,0.69017,0.82848,1.86325,0.00038556,0.00038556,0.00038556
117,7432.36,0.50302,0.40488,1.33566,0.75885,0.76297,0.84178,0.72878,0.68573,0.8043,1.8684,0.000382704,0.000382704,0.000382704
118,7492.83,0.50241,0.39965,1.3115,0.73752,0.76545,0.83048,0.71507,0.68857,0.84077,1.81638,0.000379848,0.000379848,0.000379848
119,7553.63,0.49727,0.39706,1.32952,0.77556,0.74629,0.83474,0.72241,0.68001,0.81487,1.86271,0.000376992,0.000376992,0.000376992
120,7614.56,0.49722,0.39371,1.37045,0.76436,0.74626,0.83083,0.722,0.67958,0.83974,1.90567,0.000374136,0.000374136,0.000374136
121,7676.7,0.51066,0.40644,1.35472,0.7775,0.72886,0.82496,0.71843,0.68378,0.8342,1.83884,0.00037128,0.00037128,0.00037128
122,7737.08,0.4962,0.40035,1.35623,0.77555,0.74695,0.83182,0.71689,0.68111,0.80805,1.8522,0.000368424,0.000368424,0.000368424
123,7796.9,0.49032,0.39548,1.34489,0.7691,0.73478,0.83757,0.7204,0.69038,0.80006,1.85052,0.000365568,0.000365568,0.000365568
124,7856.81,0.49311,0.39676,1.37237,0.79947,0.72595,0.8271,0.71321,0.68463,0.81249,1.82631,0.000362712,0.000362712,0.000362712
125,7917.13,0.4999,0.40295,1.36547,0.77398,0.75488,0.84442,0.72641,0.68098,0.80735,1.88268,0.000359856,0.000359856,0.000359856
126,7977.95,0.49345,0.39926,1.34228,0.75872,0.74587,0.82497,0.71543,0.67809,0.80592,1.81573,0.000357,0.000357,0.000357
127,8038.68,0.49817,0.39658,1.34587,0.81557,0.72315,0.84145,0.72669,0.68669,0.82243,1.82771,0.000354144,0.000354144,0.000354144
128,8099.24,0.49256,0.39444,1.33763,0.74728,0.76678,0.82731,0.71278,0.68327,0.81028,1.88921,0.000351288,0.000351288,0.000351288
129,8159.03,0.48755,0.38814,1.34145,0.77386,0.73099,0.83053,0.7176,0.68101,0.83951,1.87765,0.000348432,0.000348432,0.000348432
130,8219.49,0.48052,0.38508,1.33943,0.76493,0.76015,0.83382,0.72179,0.67965,0.80506,1.89929,0.000345576,0.000345576,0.000345576
131,8279.65,0.47817,0.38384,1.33564,0.75019,0.77327,0.83659,0.72283,0.67772,0.82712,1.94176,0.00034272,0.00034272,0.00034272
132,8340.22,0.47825,0.38471,1.33604,0.7963,0.7284,0.83501,0.72168,0.67835,0.81797,1.85664,0.000339864,0.000339864,0.000339864
133,8400.9,0.47066,0.37789,1.34003,0.78501,0.72214,0.8334,0.72002,0.68228,0.82098,1.82696,0.000337008,0.000337008,0.000337008
134,8461.14,0.48027,0.39418,1.30688,0.78773,0.72958,0.82249,0.71227,0.68358,0.81134,1.80766,0.000334152,0.000334152,0.000334152
135,8521.44,0.47828,0.38894,1.33362,0.83089,0.69647,0.83263,0.71688,0.68546,0.82917,1.86289,0.000331296,0.000331296,0.000331296
136,8581.61,0.47047,0.38137,1.33886,0.80461,0.72838,0.83244,0.71598,0.67465,0.79499,1.78913,0.00032844,0.00032844,0.00032844
137,8641.64,0.476,0.37785,1.31776,0.78912,0.72658,0.83705,0.72545,0.6719,0.80553,1.85529,0.000325584,0.000325584,0.000325584
138,8702.04,0.47689,0.37725,1.35056,0.79119,0.72955,0.82914,0.72273,0.67715,0.81606,1.81589,0.000322728,0.000322728,0.000322728
139,8762.58,0.47598,0.38036,1.36939,0.79787,0.72546,0.82966,0.71558,0.68522,0.80635,1.79448,0.000319872,0.000319872,0.000319872
140,8823.02,0.46084,0.37377,1.34634,0.84113,0.70441,0.83134,0.72026,0.68592,0.80861,1.76914,0.000317016,0.000317016,0.000317016
